"id","province_id","name","alt_name","latitude","longitude"
"5101","51","KABUPATEN JEMBRANA","KABUPATEN JEMBRANA","-8.3","114.66667"
"5102","51","KABUPATEN TABANAN","KABUPATEN TABANAN","-8.43333","115.06667"
"5103","51","KABUPATEN BADUNG","KABUPATEN BADUNG","-8.51667","115.2"
"5104","51","KABUPATEN GIANYAR","KABUPATEN GIANYAR","-8.46667","115.28333"
"5105","51","KABUPATEN KLUNGKUNG","KABUPATEN KLUNGKUNG","-8.55","115.4"
"5106","51","KABUPATEN BANGLI","KABUPATEN BANGLI","-8.28333","115.35"
"5107","51","KABUPATEN KARANG ASEM","KABUPATEN KARANG ASEM","-8.3891","115.5393"
"5108","51","KABUPATEN BULELENG","KABUPATEN BULELENG","-8.25","114.96667"
"5171","51","KOTA DENPASAR","KOTA DENPASAR","-8.66667","115.21663"
"5201","52","KABUPATEN LOMBOK BARAT","KABUPATEN LOMBOK BARAT","-8.69583","116.11667"
"5202","52","KABUPATEN LOMBOK TENGAH","KABUPATEN LOMBOK TENGAH","-8.7","116.3"
"5203","52","KABUPATEN LOMBOK TIMUR","KABUPATEN LOMBOK TIMUR","-8.53333","116.53333"
"5204","52","KABUPATEN SUMBAWA","KABUPATEN SUMBAWA","-8.7439","117.3324"
"5205","52","KABUPATEN DOMPU","KABUPATEN DOMPU","-8.5094","118.4816"
"5206","52","KABUPATEN BIMA","KABUPATEN BIMA","-8.6","118.61667"
"5207","52","KABUPATEN SUMBAWA BARAT","KABUPATEN SUMBAWA BARAT","-8.75159","116.92132"
"5208","52","KABUPATEN LOMBOK UTARA","KABUPATEN LOMBOK UTARA","-8.35214","116.40152"
"5271","52","KOTA MATARAM","KOTA MATARAM","-8.5833","116.1167"
"5272","52","KOTA BIMA","KOTA BIMA","-8.46728","118.75259"
"5301","53","KABUPATEN SUMBA BARAT","KABUPATEN SUMBA BARAT","-9.56667","119.45"
"5302","53","KABUPATEN SUMBA TIMUR","KABUPATEN SUMBA TIMUR","-9.88333","120.25"
"5303","53","KABUPATEN KUPANG","KABUPATEN KUPANG","-9.91667","123.83333"
"5304","53","KABUPATEN TIMOR TENGAH SELATAN","KABUPATEN TIMOR TENGAH SELATAN","-9.83333","124.4"
"5305","53","KABUPATEN TIMOR TENGAH UTARA","KABUPATEN TIMOR TENGAH UTARA","-9.33136","124.51904"
"5306","53","KABUPATEN BELU","KABUPATEN BELU","-9.41258","124.95066"
"5307","53","KABUPATEN ALOR","KABUPATEN ALOR","-8.3","124.56667"
"5308","53","KABUPATEN LEMBATA","KABUPATEN LEMBATA","-8.41396","123.55225"
"5309","53","KABUPATEN FLORES TIMUR","KABUPATEN FLORES TIMUR","-8.24224","122.96817"
"5310","53","KABUPATEN SIKKA","KABUPATEN SIKKA","-8.66667","122.36667"
"5311","53","KABUPATEN ENDE","KABUPATEN ENDE","-8.84056","121.66389"
"5312","53","KABUPATEN NGADA","KABUPATEN NGADA","-8.66667","121"
"5313","53","KABUPATEN MANGGARAI","KABUPATEN MANGGARAI","-8.56667","120.41667"
"5314","53","KABUPATEN ROTE NDAO","KABUPATEN ROTE NDAO","-10.73617","123.12054"
"5315","53","KABUPATEN MANGGARAI BARAT","KABUPATEN MANGGARAI BARAT","-8.64484","119.88281"
"5316","53","KABUPATEN SUMBA TENGAH","KABUPATEN SUMBA TENGAH","-9.62941","119.61914"
"5317","53","KABUPATEN SUMBA BARAT DAYA","KABUPATEN SUMBA BARAT DAYA","-9.56216","119.08905"
"5318","53","KABUPATEN NAGEKEO","KABUPATEN NAGEKEO","-8.8721","121.20963"
"5319","53","KABUPATEN MANGGARAI TIMUR","KABUPATEN MANGGARAI TIMUR","-8.55533","120.59761"
"5320","53","KABUPATEN SABU RAIJUA","KABUPATEN SABU RAIJUA","-10.56286","121.78894"
"5321","53","KABUPATEN MALAKA","KABUPATEN MALAKA","-9.5632","124.89481"
"5371","53","KOTA KUPANG","KOTA KUPANG","-10.21667","123.6"
