"id","province_id","name","alt_name","latitude","longitude"
"6101","61","KABUPATEN SAMBAS","KABUPATEN SAMBAS","1.41667","109.33333"
"6102","61","KABUPATEN BENGKAYANG","KABUPATEN BENGKAYANG","1.06911","109.66393"
"6103","61","KABUPATEN LANDAK","KABUPATEN LANDAK","0.42373","109.75917"
"6104","61","KABUPATEN MEMPAWAH","KABUPATEN MEMPAWAH","0.25","109.16667"
"6105","61","KABUPATEN SANGGAU","KABUPATEN SANGGAU","0.25472","110.45"
"6106","61","KABUPATEN KETAPANG","KABUPATEN KETAPANG","-1.58333","110.5"
"6107","61","KABUPATEN SINTANG","KABUPATEN SINTANG","-0.08333","112.08333"
"6108","61","KABUPATEN KAPUAS HULU","KABUPATEN KAPUAS HULU","0.81667","112.76667"
"6109","61","KABUPATEN SEKADAU","KABUPATEN SEKADAU","0.03485","110.95066"
"6110","61","KABUPATEN MELAWI","KABUPATEN MELAWI","-0.33617","111.698"
"6111","61","KABUPATEN KAYONG UTARA","KABUPATEN KAYONG UTARA","-1.43711","110.79781"
"6112","61","KABUPATEN KUBU RAYA","KABUPATEN KUBU RAYA","0.01637","109.33731"
"6171","61","KOTA PONTIANAK","KOTA PONTIANAK","-0.08333","109.36667"
"6172","61","KOTA SINGKAWANG","KOTA SINGKAWANG","0.90734","109.00103"
"6201","62","KABUPATEN KOTAWARINGIN BARAT","KABUPATEN KOTAWARINGIN BARAT","-2.4","111.73333"
"6202","62","KABUPATEN KOTAWARINGIN TIMUR","KABUPATEN KOTAWARINGIN TIMUR","-2.08333","112.75"
"6203","62","KABUPATEN KAPUAS","KABUPATEN KAPUAS","-2.01667","114.38333"
"6204","62","KABUPATEN BARITO SELATAN","KABUPATEN BARITO SELATAN","-1.86667","114.73333"
"6205","62","KABUPATEN BARITO UTARA","KABUPATEN BARITO UTARA","-0.98333","115.1"
"6206","62","KABUPATEN SUKAMARA","KABUPATEN SUKAMARA","-2.62675","111.23681"
"6207","62","KABUPATEN LAMANDAU","KABUPATEN LAMANDAU","-1.83828","111.2869"
"6208","62","KABUPATEN SERUYAN","KABUPATEN SERUYAN","-2.33333","112.25"
"6209","62","KABUPATEN KATINGAN","KABUPATEN KATINGAN","-2.06667","113.4"
"6210","62","KABUPATEN PULANG PISAU","KABUPATEN PULANG PISAU","-3.11858","113.8623"
"6211","62","KABUPATEN GUNUNG MAS","KABUPATEN GUNUNG MAS","-0.95","113.5"
"6212","62","KABUPATEN BARITO TIMUR","KABUPATEN BARITO TIMUR","-1.93333","115.1"
"6213","62","KABUPATEN MURUNG RAYA","KABUPATEN MURUNG RAYA","-0.01667","114.26667"
"6271","62","KOTA PALANGKA RAYA","KOTA PALANGKA RAYA","-1.76979","113.73126"
"6301","63","KABUPATEN TANAH LAUT","KABUPATEN TANAH LAUT","-3.88333","114.86667"
"6302","63","KABUPATEN KOTA BARU","KABUPATEN KOTA BARU","-3","116"
"6303","63","KABUPATEN BANJAR","KABUPATEN BANJAR","-3.31667","115.08333"
"6304","63","KABUPATEN BARITO KUALA","KABUPATEN BARITO KUALA","-3.08333","114.61667"
"6305","63","KABUPATEN TAPIN","KABUPATEN TAPIN","-2.91667","115.03333"
"6306","63","KABUPATEN HULU SUNGAI SELATAN","KABUPATEN HULU SUNGAI SELATAN","-2.75","115.2"
"6307","63","KABUPATEN HULU SUNGAI TENGAH","KABUPATEN HULU SUNGAI TENGAH","-2.61667","115.41667"
"6308","63","KABUPATEN HULU SUNGAI UTARA","KABUPATEN HULU SUNGAI UTARA","-2.45","115.13333"
"6309","63","KABUPATEN TABALONG","KABUPATEN TABALONG","-1.88333","115.5"
"6310","63","KABUPATEN TANAH BUMBU","KABUPATEN TANAH BUMBU","-3.45413","115.70372"
"6311","63","KABUPATEN BALANGAN","KABUPATEN BALANGAN","-2.32314","115.62922"
"6371","63","KOTA BANJARMASIN","KOTA BANJARMASIN","-3.32444","114.59102"
"6372","63","KOTA BANJAR BARU","KOTA BANJAR BARU","-3.41667","114.83333"
"6401","64","KABUPATEN PASER","KABUPATEN PASER","-1.43517","116.23535"
"6402","64","KABUPATEN KUTAI BARAT","KABUPATEN KUTAI BARAT","-0.59417","115.51575"
"6403","64","KABUPATEN KUTAI KARTANEGARA","KABUPATEN KUTAI KARTANEGARA","-0.44019","116.98139"
"6404","64","KABUPATEN KUTAI TIMUR","KABUPATEN KUTAI TIMUR","1.03769","117.83112"
"6405","64","KABUPATEN BERAU","KABUPATEN BERAU","2","117.3"
"6409","64","KABUPATEN PENAJAM PASER UTARA","KABUPATEN PENAJAM PASER UTARA","-1.25","116.83333"
"6411","64","KABUPATEN MAHAKAM HULU","KABUPATEN MAHAKAM HULU","0.37822","115.38048"
"6471","64","KOTA BALIKPAPAN","KOTA BALIKPAPAN","-1.16667","116.88333"
"6472","64","KOTA SAMARINDA","KOTA SAMARINDA","-0.43333","117.18333"
"6474","64","KOTA BONTANG","KOTA BONTANG","0.12526","117.49603"
"6501","65","KABUPATEN MALINAU","KABUPATEN MALINAU","2.45","115.68333"
"6502","65","KABUPATEN BULUNGAN","KABUPATEN BULUNGAN","3","117.16667"
"6503","65","KABUPATEN TANA TIDUNG","KABUPATEN TANA TIDUNG","3.55","117.25"
"6504","65","KABUPATEN NUNUKAN","KABUPATEN NUNUKAN","4.13333","116.7"
"6571","65","KOTA TARAKAN","KOTA TARAKAN","3.36667","117.6"
