"id","province_id","name","alt_name","latitude","longitude"
"7101","71","KABUPATEN BOLAANG MONGONDOW","KABUPATEN BOLAANG MONGONDOW","0.75","124.08333"
"7102","71","KABUPATEN MINAHASA","KABUPATEN MINAHASA","1.2537","124.83"
"7103","71","KABUPATEN KEPULAUAN SANGIHE","KABUPATEN KEPULAUAN SANGIHE","3.5","125.55"
"7104","71","KABUPATEN KEPULAUAN TALAUD","KABUPATEN KEPULAUAN TALAUD","4.31178","126.78085"
"7105","71","KABUPATEN MINAHASA SELATAN","KABUPATEN MINAHASA SELATAN","1.21291","124.59708"
"7106","71","KABUPATEN MINAHASA UTARA","KABUPATEN MINAHASA UTARA","1.4025","124.96"
"7107","71","KABUPATEN BOLAANG MONGONDOW UTARA","KABUPATEN BOLAANG MONGONDOW UTARA","0.78527","123.41766"
"7108","71","KABUPATEN SIAU TAGULANDANG BIARO","KABUPATEN SIAU TAGULANDANG BIARO","2.11728","125.37512"
"7109","71","KABUPATEN MINAHASA TENGGARA","KABUPATEN MINAHASA TENGGARA","1.05633","124.7925"
"7110","71","KABUPATEN BOLAANG MONGONDOW SELATAN","KABUPATEN BOLAANG MONGONDOW SELATAN","0.40912","123.75961"
"7111","71","KABUPATEN BOLAANG MONGONDOW TIMUR","KABUPATEN BOLAANG MONGONDOW TIMUR","0.72073","124.50256"
"7171","71","KOTA MANADO","KOTA MANADO","1.51667","124.88333"
"7172","71","KOTA BITUNG","KOTA BITUNG","1.48333","125.15"
"7173","71","KOTA TOMOHON","KOTA TOMOHON","1.31307","124.83404"
"7174","71","KOTA KOTAMOBAGU","KOTA KOTAMOBAGU","0.68915","124.32678"
"7201","72","KABUPATEN BANGGAI KEPULAUAN","KABUPATEN BANGGAI KEPULAUAN","-1.6424","123.54881"
"7202","72","KABUPATEN BANGGAI","KABUPATEN BANGGAI","-1.2835","122.8892"
"7203","72","KABUPATEN MOROWALI","KABUPATEN MOROWALI","-1.89342","121.25473"
"7204","72","KABUPATEN POSO","KABUPATEN POSO","-1.65","120.5"
"7205","72","KABUPATEN DONGGALA","KABUPATEN DONGGALA","-0.58333","119.85"
"7206","72","KABUPATEN TOLI-TOLI","KABUPATEN TOLI-TOLI","1.30862","120.88643"
"7207","72","KABUPATEN BUOL","KABUPATEN BUOL","0.75","120.75"
"7208","72","KABUPATEN PARIGI MOUTONG","KABUPATEN PARIGI MOUTONG","0.3368","120.17841"
"7209","72","KABUPATEN TOJO UNA-UNA","KABUPATEN TOJO UNA-UNA","-1.2036","121.48201"
"7210","72","KABUPATEN SIGI","KABUPATEN SIGI","-1.385","119.96694"
"7211","72","KABUPATEN BANGGAI LAUT","KABUPATEN BANGGAI LAUT","-1.61841","123.49388"
"7212","72","KABUPATEN MOROWALI UTARA","KABUPATEN MOROWALI UTARA","-1.7207","121.24649"
"7271","72","KOTA PALU","KOTA PALU","-0.86972","119.9"
"7301","73","KABUPATEN KEPULAUAN SELAYAR","KABUPATEN KEPULAUAN SELAYAR","-6.81667","120.8"
"7302","73","KABUPATEN BULUKUMBA","KABUPATEN BULUKUMBA","-5.41667","120.23333"
"7303","73","KABUPATEN BANTAENG","KABUPATEN BANTAENG","-5.48333","119.98333"
"7304","73","KABUPATEN JENEPONTO","KABUPATEN JENEPONTO","-5.63333","119.73333"
"7305","73","KABUPATEN TAKALAR","KABUPATEN TAKALAR","-5.41667","119.51667"
"7306","73","KABUPATEN GOWA","KABUPATEN GOWA","-5.31667","119.75"
"7307","73","KABUPATEN SINJAI","KABUPATEN SINJAI","-5.21667","120.15"
"7308","73","KABUPATEN MAROS","KABUPATEN MAROS","-5.05","119.71667"
"7309","73","KABUPATEN PANGKAJENE DAN KEPULAUAN","KABUPATEN PANGKAJENE DAN KEPULAUAN","-4.7827","119.5506"
"7310","73","KABUPATEN BARRU","KABUPATEN BARRU","-4.43333","119.68333"
"7311","73","KABUPATEN BONE","KABUPATEN BONE","-4.7","120.13333"
"7312","73","KABUPATEN SOPPENG","KABUPATEN SOPPENG","-4.3842","119.89"
"7313","73","KABUPATEN WAJO","KABUPATEN WAJO","-4","120.16667"
"7314","73","KABUPATEN SIDENRENG RAPPANG","KABUPATEN SIDENRENG RAPPANG","-3.85","119.96667"
"7315","73","KABUPATEN PINRANG","KABUPATEN PINRANG","-3.61667","119.6"
"7316","73","KABUPATEN ENREKANG","KABUPATEN ENREKANG","-3.5","119.86667"
"7317","73","KABUPATEN LUWU","KABUPATEN LUWU","-2.5577","121.3242"
"7318","73","KABUPATEN TANA TORAJA","KABUPATEN TANA TORAJA","-3.0024","119.79655"
"7322","73","KABUPATEN LUWU UTARA","KABUPATEN LUWU UTARA","-2.6","120.25"
"7325","73","KABUPATEN LUWU TIMUR","KABUPATEN LUWU TIMUR","-2.50957","120.3978"
"7326","73","KABUPATEN TORAJA UTARA","KABUPATEN TORAJA UTARA","-2.92738","119.79218"
"7371","73","KOTA MAKASSAR","KOTA MAKASSAR","-5.15","119.45"
"7372","73","KOTA PARE-PARE","KOTA PARE-PARE","-4.03333","119.65"
"7373","73","KOTA PALOPO","KOTA PALOPO","-2.97841","120.11078"
"7401","74","KABUPATEN BUTON","KABUPATEN BUTON","-5.31667","122.58333"
"7402","74","KABUPATEN MUNA","KABUPATEN MUNA","-4.96667","122.66667"
"7403","74","KABUPATEN KONAWE","KABUPATEN KONAWE","-3.91717","122.08823"
"7404","74","KABUPATEN KOLAKA","KABUPATEN KOLAKA","-4.08333","121.66667"
"7405","74","KABUPATEN KONAWE SELATAN","KABUPATEN KONAWE SELATAN","-4.19191","122.44854"
"7406","74","KABUPATEN BOMBANA","KABUPATEN BOMBANA","-4.6257","121.81641"
"7407","74","KABUPATEN WAKATOBI","KABUPATEN WAKATOBI","-5.31934","123.5948"
"7408","74","KABUPATEN KOLAKA UTARA","KABUPATEN KOLAKA UTARA","-3.10452","121.12427"
"7409","74","KABUPATEN BUTON UTARA","KABUPATEN BUTON UTARA","-5.01457","122.93015"
"7410","74","KABUPATEN KONAWE UTARA","KABUPATEN KONAWE UTARA","-3.41552","121.99081"
"7411","74","KABUPATEN KOLAKA TIMUR","KABUPATEN KOLAKA TIMUR","-4.01807","121.86172"
"7412","74","KABUPATEN KONAWE KEPULAUAN","KABUPATEN KONAWE KEPULAUAN","-4.11656","123.10181"
"7413","74","KABUPATEN MUNA BARAT","KABUPATEN MUNA BARAT","-4.83333","122.48333"
"7414","74","KABUPATEN BUTON TENGAH","KABUPATEN BUTON TENGAH","-5.31667","122.33333"
"7415","74","KABUPATEN BUTON SELATAN","KABUPATEN BUTON SELATAN","-5.56667","122.7"
"7471","74","KOTA KENDARI","KOTA KENDARI","-3.98333","122.5"
"7472","74","KOTA BAUBAU","KOTA BAUBAU","-5.477","122.6166"
"7501","75","KABUPATEN BOALEMO","KABUPATEN BOALEMO","0.62689","122.3568"
"7502","75","KABUPATEN GORONTALO","KABUPATEN GORONTALO","0.5728","122.2337"
"7503","75","KABUPATEN POHUWATO","KABUPATEN POHUWATO","0.7098","121.59582"
"7504","75","KABUPATEN BONE BOLANGO","KABUPATEN BONE BOLANGO","0.50296","123.27501"
"7505","75","KABUPATEN GORONTALO UTARA","KABUPATEN GORONTALO UTARA","0.77","122.31667"
"7571","75","KOTA GORONTALO","KOTA GORONTALO","0.53333","123.1"
"7601","76","KABUPATEN MAJENE","KABUPATEN MAJENE","-3.15","118.86667"
"7602","76","KABUPATEN POLEWALI MANDAR","KABUPATEN POLEWALI MANDAR","-3.3","119.16667"
"7603","76","KABUPATEN MAMASA","KABUPATEN MAMASA","-2.96492","119.30631"
"7604","76","KABUPATEN MAMUJU","KABUPATEN MAMUJU","-2.5","119.41667"
"7605","76","KABUPATEN MAMUJU UTARA","KABUPATEN MAMUJU UTARA","-1.51639","119.42139"
"7606","76","KABUPATEN MAMUJU TENGAH","KABUPATEN MAMUJU TENGAH","-2.8212","119.2662"
"8101","81","KABUPATEN MALUKU TENGGARA BARAT","KABUPATEN MALUKU TENGGARA BARAT","-7.61186","131.38"
"8102","81","KABUPATEN MALUKU TENGGARA","KABUPATEN MALUKU TENGGARA","-5.75","132.73334"
"8103","81","KABUPATEN MALUKU TENGAH","KABUPATEN MALUKU TENGAH","-3.29167","128.9675"
"8104","81","KABUPATEN BURU","KABUPATEN BURU","-3.32767","126.68413"
"8105","81","KABUPATEN KEPULAUAN ARU","KABUPATEN KEPULAUAN ARU","-6.17059","134.46991"
"8106","81","KABUPATEN SERAM BAGIAN BARAT","KABUPATEN SERAM BAGIAN BARAT","-3.1027","128.42996"
"8107","81","KABUPATEN SERAM BAGIAN TIMUR","KABUPATEN SERAM BAGIAN TIMUR","-3.39851","130.39166"
"8108","81","KABUPATEN MALUKU BARAT DAYA","KABUPATEN MALUKU BARAT DAYA","-7.8296","126.17386"
"8109","81","KABUPATEN BURU SELATAN","KABUPATEN BURU SELATAN","-3.52187","126.59271"
"8171","81","KOTA AMBON","KOTA AMBON","-3.7","128.18333"
"8172","81","KOTA TUAL","KOTA TUAL","-5.64301","132.74934"
"8201","82","KABUPATEN HALMAHERA BARAT","KABUPATEN HALMAHERA BARAT","1.41709","127.55264"
"8202","82","KABUPATEN HALMAHERA TENGAH","KABUPATEN HALMAHERA TENGAH","0.48056","128.25"
"8203","82","KABUPATEN KEPULAUAN SULA","KABUPATEN KEPULAUAN SULA","-1.8646","125.69046"
"8204","82","KABUPATEN HALMAHERA SELATAN","KABUPATEN HALMAHERA SELATAN","-0.3955","127.90833"
"8205","82","KABUPATEN HALMAHERA UTARA","KABUPATEN HALMAHERA UTARA","1.73194","128.00778"
"8206","82","KABUPATEN HALMAHERA TIMUR","KABUPATEN HALMAHERA TIMUR","1.33517","128.48627"
"8207","82","KABUPATEN PULAU MOROTAI","KABUPATEN PULAU MOROTAI","2.19924","128.40546"
"8208","82","KABUPATEN PULAU TALIABU","KABUPATEN PULAU TALIABU","-1.84578","124.78992"
"8271","82","KOTA TERNATE","KOTA TERNATE","0.89618","127.31016"
"8272","82","KOTA TIDORE KEPULAUAN","KOTA TIDORE KEPULAUAN","0.60962","127.56981"
